,ts_code,high
0,000001.SZ,17.12
1,000002.SZ,32.3
2,000004.SZ,49.0
3,000005.SZ,4.12
4,000006.SZ,5.74
5,000007.SZ,11.69
6,000008.SZ,4.24
7,000009.SZ,7.65
8,000010.SZ,4.43
9,000011.SZ,10.78
10,000012.SZ,6.0
11,000014.SZ,11.4
12,000016.SZ,13.29
13,000017.SZ,6.49
14,000019.SZ,11.57
15,000020.SZ,13.27
16,000021.SZ,25.88
17,000023.SZ,20.87
18,000025.SZ,32.73
19,000026.SZ,13.53
20,000027.SZ,6.32
21,000028.SZ,55.45
22,000030.SZ,7.17
23,000031.SZ,8.05
24,000032.SZ,21.13
25,000034.SZ,32.84
26,000035.SZ,6.94
27,000036.SZ,5.51
28,000037.SZ,15.08
29,000038.SZ,17.3
30,000039.SZ,10.84
31,000040.SZ,7.64
32,000042.SZ,11.16
33,000045.SZ,9.05
34,000046.SZ,6.67
35,000048.SZ,28.14
36,000049.SZ,51.6
37,000050.SZ,18.74
38,000055.SZ,5.78
39,000056.SZ,6.83
40,000058.SZ,12.01
41,000059.SZ,6.48
42,000060.SZ,4.98
43,000061.SZ,10.07
44,000062.SZ,21.2
45,000063.SZ,56.7
46,000065.SZ,10.41
47,000066.SZ,17.51
48,000068.SZ,5.8
49,000069.SZ,7.93
50,000070.SZ,16.69
51,000078.SZ,7.72
52,000088.SZ,6.94
53,000089.SZ,11.78
54,000090.SZ,5.29
55,000096.SZ,12.04
56,000099.SZ,8.34
57,000100.SZ,7.2
58,000150.SZ,7.64
59,000151.SZ,12.64
60,000153.SZ,8.94
61,000155.SZ,5.35
62,000156.SZ,13.45
63,000157.SZ,6.86
64,000158.SZ,14.59
65,000159.SZ,10.6
66,000166.SZ,5.27
67,000301.SZ,5.73
68,000333.SZ,59.43
69,000338.SZ,16.11
70,000400.SZ,16.26
71,000401.SZ,20.98
72,000402.SZ,7.95
73,000403.SZ,61.8
74,000404.SZ,4.52
75,000407.SZ,4.31
76,000408.SZ,10.65
77,000409.SZ,6.53
78,000410.SZ,7.86
79,000411.SZ,14.54
80,000413.SZ,6.04
81,000415.SZ,4.27
82,000416.SZ,6.56
83,000417.SZ,5.48
84,000419.SZ,4.78
85,000420.SZ,3.76
86,000421.SZ,4.96
87,000422.SZ,3.83
88,000423.SZ,41.94
89,000425.SZ,6.66
90,000426.SZ,6.62
91,000428.SZ,4.1
92,000429.SZ,8.4
93,000430.SZ,6.27
94,000488.SZ,5.57
95,000498.SZ,6.43
96,000501.SZ,13.7
97,000502.SZ,11.13
98,000503.SZ,21.56
99,000504.SZ,14.05
100,000505.SZ,10.32
101,000506.SZ,4.55
102,000507.SZ,6.82
103,000509.SZ,3.34
104,000510.SZ,5.48
105,000513.SZ,33.35
106,000514.SZ,5.57
107,000516.SZ,5.78
108,000517.SZ,3.44
109,000518.SZ,8.83
110,000519.SZ,10.67
111,000520.SZ,4.72
112,000521.SZ,4.03
113,000523.SZ,8.26
114,000524.SZ,8.51
115,000525.SZ,14.68
116,000526.SZ,50.7
117,000528.SZ,7.16
